                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.3169,                 1.9195,                 1.9816,                0.45034,                0.69595,                0.50976,                0.41005,                 1.5807,                 1.6086,                 1.5673,             0.00020707,             0.00020707,             0.00020707
                     80,                 1.3678,                  1.908,                 1.9421,                 0.4743,                 0.6935,                0.57004,                0.46228,                 1.6075,                 1.6274,                  1.593,             0.00019807,             0.00019807,             0.00019807
                     81,                  1.314,                 1.9422,                 1.9717,                0.46449,                0.73805,                0.56328,                0.45456,                 1.6389,                 1.6072,                  1.531,             0.00018907,             0.00018907,             0.00018907
                     82,                 1.3581,                 1.9443,                  1.931,                0.46917,                0.67176,                0.51516,                0.41767,                 1.5617,                 1.6641,                  1.533,             0.00018007,             0.00018007,             0.00018007
                     83,                 1.3339,                 1.9001,                 1.9382,                0.48775,                0.69726,                0.56494,                0.46539,                 1.5348,                 1.6206,                 1.5561,             0.00017107,             0.00017107,             0.00017107
                     84,                 1.4156,                 2.0523,                 1.9793,                0.46375,                0.68744,                0.53874,                0.44297,                  1.542,                 1.6346,                 1.5736,             0.00016207,             0.00016207,             0.00016207
                     85,                 1.3971,                 1.8859,                 1.9116,                0.45602,                0.67099,                0.53398,                 0.4307,                  1.535,                 1.6122,                 1.5419,             0.00015308,             0.00015308,             0.00015308
                     86,                 1.3032,                 1.9333,                 1.9556,                0.47897,                0.65471,                0.53592,                0.43745,                 1.4833,                 1.5762,                 1.5375,             0.00014408,             0.00014408,             0.00014408
                     87,                  1.386,                 1.9089,                 1.8722,                0.55065,                0.67495,                0.60945,                0.51357,                 1.4855,                 1.5448,                  1.547,             0.00013508,             0.00013508,             0.00013508
                     88,                 1.2358,                 1.7831,                 1.9091,                0.46673,                0.63652,                0.51303,                0.41862,                 1.5344,                  1.625,                 1.5273,             0.00012608,             0.00012608,             0.00012608
                     89,                 1.2435,                 1.8374,                 1.9316,                0.52346,                0.65013,                0.59384,                 0.4945,                 1.4613,                 1.5308,                 1.5243,             0.00011708,             0.00011708,             0.00011708
                     90,                 1.2725,                 1.8723,                 1.9437,                0.48552,                0.63424,                 0.5668,                  0.472,                 1.5118,                 1.5723,                 1.5625,             0.00010808,             0.00010808,             0.00010808
                     91,                  1.442,                 1.9763,                 1.8912,                0.52947,                0.66913,                0.59715,                0.48887,                 1.5174,                 1.5423,                 1.4773,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 1.3566,                 1.8462,                 1.8364,                0.54554,                0.66463,                0.59083,                0.47321,                 1.5999,                 1.5517,                 1.5085,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                 1.3246,                 1.7669,                 1.8279,                0.54347,                0.61841,                0.56527,                 0.4613,                 1.4968,                 1.5558,                 1.5053,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                 1.3212,                 1.6962,                 1.7975,                 0.5185,                0.67724,                0.57915,                0.46795,                 1.5377,                 1.5477,                 1.5227,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 1.2877,                 1.7141,                 1.8103,                0.53691,                0.66745,                0.58556,                0.48506,                 1.4781,                  1.521,                 1.4963,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                 1.2901,                 1.6794,                 1.7844,                0.55857,                0.62787,                0.57414,                 0.4635,                 1.5109,                 1.5432,                  1.519,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                 1.2546,                  1.679,                  1.777,                0.56764,                0.66873,                 0.5941,                0.48531,                 1.4555,                 1.5136,                 1.4983,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                 1.3049,                 1.6764,                 1.7884,                0.57028,                 0.6247,                0.59131,                0.48566,                 1.4718,                 1.5106,                 1.5024,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                 1.2462,                 1.6424,                 1.7749,                0.60035,                0.64889,                0.60096,                0.49544,                 1.4625,                 1.4973,                 1.5105,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                 1.2519,                 1.6109,                 1.8021,                0.59042,                0.66439,                0.60491,                0.49787,                 1.4717,                 1.4962,                 1.4894,             1.8089e-05,             1.8089e-05,             1.8089e-05
